NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 강남구 역삼동,835-68,835,68,롯데캐슬노블,176.03,202406,7,"219,000",-,11,개인,개인,2007,도곡로13길 19,-,중개거래,서울 강남구,-
2,서울특별시 강남구 역삼동,796-29,796,29,강남서해그랑블,71.26,202311,13,"90,000",역삼종합시장 더블루,6,-,-,2012,논현로63길 16,-,중개거래,서울 강남구,23.12.27
3,서울특별시 강남구 역삼동,796-29,796,29,강남서해그랑블,71.26,202309,5,"88,000",역삼종합시장 더블루,5,-,-,2012,논현로63길 16,-,중개거래,서울 성북구,23.11.02
4,서울특별시 강남구 역삼동,796-29,796,29,강남서해그랑블,70.57,202402,24,"87,000",역삼종합시장 더블루,5,개인,개인,2012,논현로63길 16,-,중개거래,서울 강남구,24.04.19
5,서울특별시 강남구 역삼동,796-29,796,29,강남서해그랑블,70.57,202404,17,"90,000",역삼종합시장 더블루,5,개인,개인,2012,논현로63길 16,-,중개거래,서울 강남구,24.04.22
6,서울특별시 강남구 역삼동,796-29,796,29,강남서해그랑블,70.57,202405,3,"83,000",역삼종합시장 더블루,4,개인,개인,2012,논현로63길 16,-,중개거래,서울 강남구,24.05.29
7,서울특별시 강남구 역삼동,604,604,0,리치타워,89.83,202401,5,"69,000",-,3,개인,개인,1996,논현로105길 52,-,중개거래,서울 강남구,24.02.21
8,서울특별시 강남구 역삼동,607-17,607,17,역삼동칼라,60.66,202308,7,"50,500",-,2,-,-,2002,논현로101길 6,-,중개거래,서울 강남구,23.09.25
9,서울특별시 강남구 역삼동,824-25,824,25,대우디오빌플러스,43.99,202310,30,"45,500",-,11,-,-,2004,강남대로84길 33,-,중개거래,서울 강남구,23.11.20
10,서울특별시 강남구 역삼동,824-25,824,25,대우디오빌플러스,43.99,202310,12,"44,500",-,8,-,-,2004,강남대로84길 33,-,중개거래,서울 강남구,23.12.15
11,서울특별시 강남구 역삼동,824-25,824,25,대우디오빌플러스,34.41,202312,13,"30,900",-,11,-,-,2004,강남대로84길 33,-,중개거래,서울 강남구,24.03.22
12,서울특별시 강남구 역삼동,762-3,762,3,래미안그레이튼(진달래2차),84.87,202307,24,"260,000",104,10,-,-,2011,도곡로 306,-,중개거래,서울 강남구,23.08.21
13,서울특별시 강남구 역삼동,754,754,0,개나리래미안,84.93,202309,28,"259,000",105,12,-,-,2006,역삼로 306,-,중개거래,서울 강남구,24.01.31
14,서울특별시 강남구 역삼동,755-1,755,1,개나리푸르지오,59.9885,202309,23,"210,000",305,3,-,-,2006,역삼로 314,-,중개거래,서울 강남구,24.01.16
15,서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,28.246,202308,30,"77,000",201,13,-,-,2006,역삼로 307,-,중개거래,서울 강남구,23.11.09
16,서울특별시 강남구 역삼동,716-3,716,3,개나리SK뷰,84.99,202308,24,"295,000",501,20,-,-,2012,역삼로 315-1,-,중개거래,서울 강남구,24.01.03
17,서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,28.246,202308,22,"77,000",201,8,-,-,2006,역삼로 307,-,중개거래,서울 강남구,23.10.16
18,서울특별시 강남구 역삼동,754,754,0,개나리래미안,144.55,202308,11,"330,000",101,7,-,-,2006,역삼로 306,-,중개거래,서울 강남구,23.08.24
19,서울특별시 강남구 역삼동,754,754,0,개나리래미안,59.93,202308,10,"187,300",106,13,-,-,2006,역삼로 306,-,중개거래,서울 강남구,23.08.31
20,서울특별시 강남구 역삼동,754,754,0,개나리래미안,144.98,202308,2,"310,000",101,19,-,-,2006,역삼로 306,-,중개거래,서울 강남구,23.10.12
21,서울특별시 강남구 역삼동,712-5,712,5,역삼센트럴2차아이파크,19.685,202307,27,"52,500",201동,5,-,-,2022,역삼로 307-1,-,중개거래,서울 강남구,23.08.25
22,서울특별시 강남구 역삼동,713-7,713,7,래미안펜타빌,138.16,202307,20,"314,000",103,20,-,-,2007,역삼로 309,-,중개거래,서울 강남구,23.11.03
23,서울특별시 강남구 역삼동,755-1,755,1,개나리푸르지오,84.9876,202307,14,"280,000",304,12,-,-,2006,역삼로 314,-,중개거래,서울 강남구,23.12.18
24,서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,28.246,202307,13,"77,700",201,17,-,-,2006,역삼로 307,-,중개거래,서울 강남구,23.09.13
25,서울특별시 강남구 역삼동,713-7,713,7,래미안펜타빌,158.58,202307,3,"340,000",103,24,-,-,2007,역삼로 309,-,중개거래,서울 서초구,23.10.30
26,서울특별시 강남구 역삼동,754,754,0,개나리래미안,144.55,202307,1,"315,000",101,12,-,-,2006,역삼로 306,-,중개거래,서울 강남구,23.10.18
27,서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,144.431,202403,9,"280,000",202,20,개인,개인,2006,역삼로 307,-,중개거래,서울 강남구,24.05.24
28,서울특별시 강남구 역삼동,754,754,0,개나리래미안,84.93,202404,23,"242,000",-,17,개인,개인,2006,역삼로 306,-,중개거래,서울 강남구,-
29,서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,28.246,202404,17,"82,000",-,9,개인,개인,2006,역삼로 307,-,중개거래,"서울 강남구, 서울 동대문구",-
30,서울특별시 강남구 역삼동,754,754,0,개나리래미안,84.93,202404,10,"263,000",-,16,개인,개인,2006,역삼로 306,-,중개거래,서울 강남구,-
31,서울특별시 강남구 역삼동,716-3,716,3,개나리SK뷰,127.27,202404,6,"358,000",-,11,개인,개인,2012,역삼로 315-1,-,중개거래,서울 강남구,-
32,서울특별시 강남구 역삼동,716-3,716,3,개나리SK뷰,84.99,202404,5,"268,000",-,4,개인,개인,2012,역삼로 315-1,-,중개거래,서울 강남구,-
33,서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,144.431,202403,20,"320,000",-,12,개인,개인,2006,역삼로 307,-,중개거래,서울 강남구,-
34,서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,116.285,202402,6,"298,000",206,17,개인,개인,2006,역삼로 307,-,중개거래,서울 강남구,24.03.05
35,서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,28.246,202402,3,"69,000",-,1,개인,개인,2006,역삼로 307,-,중개거래,서울 강남구,-
36,서울특별시 강남구 역삼동,755-1,755,1,개나리푸르지오,84.6815,202401,30,"263,000",302,9,개인,개인,2006,역삼로 314,-,중개거래,서울 강남구,24.05.02
37,서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,28.246,202401,24,"82,000",201,13,개인,개인,2006,역삼로 307,-,중개거래,서울 강남구,24.04.24
38,서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,116.285,202401,5,"295,000",206,15,개인,개인,2006,역삼로 307,-,중개거래,서울 강남구,24.04.22
39,서울특별시 강남구 역삼동,713-7,713,7,래미안펜타빌,136.28,202307,11,"349,000",-,8,-,-,2007,역삼로 309,20240223,중개거래,서울 강남구,-
40,서울특별시 강남구 역삼동,713-7,713,7,래미안펜타빌,136.28,202307,11,"349,000",103,8,-,-,2007,역삼로 309,-,중개거래,서울 강남구,24.02.27
41,서울특별시 강남구 역삼동,754,754,0,개나리래미안,84.93,202403,17,"243,000",107,12,개인,개인,2006,역삼로 306,-,중개거래,서울 강남구,24.04.29
42,서울특별시 강남구 역삼동,754,754,0,개나리래미안,59.95,202406,15,"210,000",-,15,개인,개인,2006,역삼로 306,-,중개거래,서울 강남구,-
43,서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,144.641,202403,29,"320,000",204,8,개인,개인,2006,역삼로 307,-,중개거래,서울 강남구,24.06.17
44,서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,28.246,202404,13,"79,000",201,4,개인,개인,2006,역삼로 307,-,중개거래,서울 강남구,24.06.10
45,서울특별시 강남구 역삼동,771-4,771,4,세방하이빌1,59.77,202402,29,"121,000",-,3,개인,개인,2003,역삼로 240,-,중개거래,서울 강남구,24.05.31
46,서울특별시 강남구 역삼동,754,754,0,개나리래미안,59.7,202405,9,"202,000",-,17,개인,개인,2006,역삼로 306,-,중개거래,서울 강남구,-
47,서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,28.246,202405,4,"86,700",-,12,개인,개인,2006,역삼로 307,-,중개거래,서울 강남구,-
48,서울특별시 강남구 역삼동,754,754,0,개나리래미안,59.95,202405,24,"204,500",-,12,개인,개인,2006,역삼로 306,-,중개거래,서울 강남구,-
49,서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,116.285,202401,4,"289,000",203,14,개인,개인,2006,역삼로 307,-,중개거래,서울 강남구,24.05.27
50,서울특별시 강남구 역삼동,771-4,771,4,세방하이빌1,59.77,202402,29,"121,000",-,3,개인,개인,2003,역삼로 240,20240530,중개거래,서울 강남구,-
51,서울특별시 강남구 역삼동,716,716,0,동부센트레빌,84.97,202308,14,"140,000",-,12,-,-,1998,선릉로 423,-,직거래,-,23.08.29
52,서울특별시 강남구 역삼동,716,716,0,동부센트레빌,59.97,202307,4,"160,000",-,3,-,-,1998,선릉로 423,-,중개거래,서울 강남구,23.11.30
53,서울특별시 강남구 역삼동,716,716,0,동부센트레빌,59.97,202403,9,"168,000",-,8,개인,개인,1998,선릉로 423,-,중개거래,서울 강남구,24.04.30
54,서울특별시 강남구 역삼동,716,716,0,동부센트레빌,59.97,202311,6,"164,500",-,6,-,-,1998,선릉로 423,-,중개거래,서울 강남구,24.02.14
55,서울특별시 강남구 역삼동,716,716,0,동부센트레빌,84.97,202403,9,"191,000",-,2,개인,개인,1998,선릉로 423,-,중개거래,서울 강남구,24.04.30
56,서울특별시 강남구 역삼동,716,716,0,동부센트레빌,84.97,202402,5,"181,500",-,19,개인,개인,1998,선릉로 423,-,중개거래,서울 강남구,24.03.05
57,서울특별시 강남구 역삼동,716,716,0,동부센트레빌,84.97,202405,3,"200,000",-,17,개인,개인,1998,선릉로 423,-,중개거래,서울 강남구,-
58,서울특별시 강남구 역삼동,716,716,0,동부센트레빌,59.97,202405,26,"169,500",-,6,개인,개인,1998,선릉로 423,-,중개거래,서울 강남구,-
59,서울특별시 강남구 역삼동,681-26,681,26,역삼동하나빌,50.89,202401,5,"70,000",-,9,개인,개인,2002,봉은사로 312,-,중개거래,서울 강남구,24.04.29
60,서울특별시 강남구 역삼동,606-18,606,18,현대휴먼터치빌,35.88,202309,18,"30,000",-,11,-,-,1999,논현로 565,-,직거래,-,23.10.13
61,서울특별시 강남구 역삼동,606-18,606,18,현대휴먼터치빌,25.92,202309,9,"25,500",-,12,-,-,1999,논현로 565,-,중개거래,서울 강남구,23.09.20
62,서울특별시 강남구 역삼동,606-18,606,18,현대휴먼터치빌,25.92,202405,16,"24,000",-,7,법인,개인,1999,논현로 565,-,직거래,-,24.05.30
63,서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202401,8,"30,000",-,9,개인,개인,2002,언주로 427,-,중개거래,서울 강남구,24.02.05
64,서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202311,15,"32,500",-,10,-,-,2002,언주로 427,-,직거래,-,23.12.11
65,서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202311,7,"31,500",-,7,-,-,2002,언주로 427,-,중개거래,서울 강남구,23.12.22
66,서울특별시 강남구 역삼동,711-3,711,3,역삼자이,114.019,202310,17,"303,800",102,7,-,-,2016,언주로 420,-,중개거래,서울 강남구,24.01.30
67,서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,59.15,202310,19,"74,500",-,23,-,-,2002,언주로 427,-,중개거래,서울 강남구,24.01.30
68,서울특별시 강남구 역삼동,711-3,711,3,역삼자이,114.5958,202310,13,"310,000",101,21,-,-,2016,언주로 420,-,중개거래,서울 강남구,24.01.05
69,서울특별시 강남구 역삼동,711-3,711,3,역삼자이,114.019,202309,13,"308,000",101,12,-,-,2016,언주로 420,-,중개거래,서울 강남구,23.12.27
70,서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,39.13,202312,19,"37,500",-,12,-,-,2002,언주로 427,-,중개거래,서울 강남구,-
71,서울특별시 강남구 역삼동,711-3,711,3,역삼자이,59.9977,202311,24,"199,000",101,21,-,-,2016,언주로 420,-,중개거래,서울 강남구,24.01.03
72,서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202310,12,"32,800",-,17,-,-,2002,언주로 427,-,중개거래,서울 강남구,23.10.31
73,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,59.8848,202309,23,"200,000",110,9,-,-,2006,언주로 332,-,중개거래,서울 강남구,23.12.26
74,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,84.9097,202309,19,"239,500",102,14,-,-,2006,언주로 332,-,중개거래,서울 강남구,23.12.12
75,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,84.9097,202309,9,"232,000",102,11,-,-,2006,언주로 332,-,중개거래,서울 강남구,23.11.10
76,서울특별시 강남구 역삼동,761-10,761,10,대림역삼,59.66,202308,28,"139,000",-,13,-,-,1997,언주로 316,-,중개거래,서울 강남구,24.01.30
77,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,84.9097,202308,28,"235,000",103,15,-,-,2006,언주로 332,-,중개거래,서울 강남구,23.08.30
78,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,59.8848,202308,27,"187,000",108,22,-,-,2006,언주로 332,-,중개거래,서울 강남구,23.11.30
79,서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202308,25,"30,000",-,18,-,-,2002,언주로 427,-,중개거래,서울 강남구,23.10.27
80,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,59.8848,202308,19,"190,000",111,16,-,-,2006,언주로 332,-,중개거래,서울 강남구,23.12.11
81,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,59.8848,202308,18,"190,000",111,5,-,-,2006,언주로 332,-,중개거래,서울 강남구,23.11.30
82,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,59.8848,202308,11,"181,200",108,22,-,-,2006,언주로 332,-,중개거래,서울 강남구,23.11.13
