업체명,업종,노선명,노선유형,노선상태,운행형태,변경인가일자,최초인가일자,운송개시일,인가대수,등록대수,인가횟수,총인가거리(편도),굴곡도,중간배차유무,벽지노선,기점정류소,종점정류소,관할관청,업체아이디,노선아이디,데이터기준일자
(주)용남고속버스라인,시내버스,3003,경기도 공공버스,정상,직행좌석형시내버스,2020-04-10,,2021-01-01,14,14,67,32.5,1.39,N,N,능실마을21단지.수원여대입구,강남역나라빌딩앞,경기도 수원시,4105000,200000108,2023-08-02
(주)용남고속버스라인,시내버스,3003예약,일반,정상,직행좌석형시내버스,2020-04-06,2020-03-30,2020-04-02,2,2,2,32.5,,N,N,삼환나우빌아파트,선바위역,경기도 수원시,4105000,200000293,2023-08-02
(주)용남고속버스라인,시내버스,7002,경기도 공공버스,정상,직행좌석형시내버스,2019-05-13,,2021-04-05,6,3,35,43.3,1.49,N,N,수원남부버스공영차고지,인덕원역4호선,경기도 수원시,4105000,200000109,2023-08-02
경진여객운수(주),시내버스,3000,경기도 공공버스,정상,직행좌석형시내버스,2020-05-07,,2021-03-01,17,17,74,37.7,1.39,N,N,능실마을21단지.수원여대입구,강남역나라빌딩앞,경기도 수원시,4110800,200000104,2023-08-02
경진여객운수(주),시내버스,3000(예약),일반,정상,직행좌석형시내버스,,2020-03-27,2020-04-01,2,2,2,27.9,1.26,N,N,수원종합운동장.수원시체육회관.아너스빌위즈,강남역나라빌딩앞,경기도 수원시,4110800,200000283,2023-08-02
경진여객운수(주),시내버스,7770,경기도 공공버스,정상,직행좌석형시내버스,2020-05-07,,2021-03-01,31,31,191,26.8,1.19,N,N,수원역,사당역,경기도 수원시,4110800,233000031,2023-08-02
경진여객운수(주),시내버스,7770(예약),일반,정상,직행좌석형시내버스,,2020-03-27,2020-04-01,2,2,2,22.7,1.15,N,N,수원종합운동장.수원시체육회관.아너스빌위즈,사당역(중),경기도 수원시,4110800,200000284,2023-08-02
경진여객운수(주),시내버스,7780,경기도 공공버스,정상,직행좌석형시내버스,2020-05-07,,2021-03-01,18,18,96,30.6,,N,N,능실마을21단지.수원여대입구,사당역,경기도 수원시,4110800,233000032,2023-08-02
경진여객운수(주),시내버스,7780(예약),일반,정상,직행좌석형시내버스,2021-04-12,2020-03-27,2021-08-03,3,3,3,22.7,1.15,N,N,정자3동주민센터.정자동중심상가,사당역(중),경기도 수원시,4110800,200000285,2023-08-02
경진여객운수(주),시내버스,7800,경기도 공공버스,정상,직행좌석형시내버스,2020-05-07,,2021-03-01,24,24,130,32.2,1.35,N,N,서부공영차고지,사당역(중),경기도 수원시,4110800,200000150,2023-08-02
경진여객운수(주),시내버스,7800(예약),일반,정상,직행좌석형시내버스,,2020-03-27,2020-04-01,2,2,2,28.3,1.23,N,N,와이씨티칠보마을6단지.LG빌리지1차아파트,사당역(중),경기도 수원시,4110800,200000286,2023-08-02
